Guide for interpreting SIPHT output
Locus Name	|	UpGENEnumber		UpGENEname		UpGENEdirection	distUpGENE	|	sRNAstart	end	dirsRNA	lensRNA	|	distDnGENE	DnGENEdir.	DnGENEnumber	DnGENEname		sRNAtype	BLASTscore	BLASTexpect	TermType	NumSearchesPredicted	BLASTpartner	QRNA?	homology to known sRNAs	Num paralogues	Weaker rev paralogue?	Paralogous candidates	Conserved synteny with knowns	Potential UTR?	Riboswitch?	Putative TFBSs
Candidate_354_NC_003210	|	lmo1978		glucose-6-phosphate_1-dehydrogenase             	*	>>>	4	|	2052119	2052191	>>>	72	|	41	>>>	lmo1979	hypothetical_protein                           	*	candidate	361	9.9e-10	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	5	-	-
Candidate_355_NC_003210	|	lmo1986		ketol-acid_reductoisomerase                     	*	>>>	1	|	2059513	2059593	>>>	80	|	75	>>>	lmo1987	2-isopropylmalate_synthase                     	*	candidate	603	8.5e-21	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	5	-	-
Candidate_356_NC_003210	|	lmo1991		threonine_dehydratase                           	*	>>>	35	|	2065542	2065591	>>>	49	|	106	>>>	lmo1992	hypothetical_protein                           	*	candidate	203	0.0047	T	9	Listeria_innocua_Clip11262_chromosome_<>Methanococcoides_burtonii_DSM_6242_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Clostridium_botulinum_E3_str._Alaska_E43_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Mycoplasma_agalactiae_chromosome_<>Bacillus_megaterium_DSM_319_chromosome_<>Gallibacterium_anatis_UMN179_chromosome_<>Candidatus_Midichloria_mitochondrii_IricVA_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_357_NC_003210	|	lmo2015		hypothetical_protein                            	*	>>>	1	|	2094810	2094894	>>>	84	|	-18	<<<	lmo2016	hypothetical_protein                           	*	candidate	250	0.00017	T	3	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_358_NC_003210	|	lmo2025		quinolinate_synthetase                          	*	>>>	3	|	2106005	2106246	>>>	241	|	82	<<<	lmo2026	peptidoglycan_binding_protein                  	*	candidate	225	0.0012	B	1	Listeria_innocua_Clip11262_chromosome_	-	NC_003210_rliF(-)_-_(rev)	2		Candidate_359_NC_003210(para),Candidate_360_NC_003210(para)	-	-	-	-
Candidate_359_NC_003210	|	lmo2027		putative_cell_surface_protein,_internalin_proteins  	*	<<<	149	|	2109753	2109847	<<<	94	|	161	<<<	lmo2028	hypothetical_protein                           	*	candidate	210	0.0021	B	5	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Clostridium_botulinum_F_str._Langeland_chromosome_<>Bacillus_weihenstephanensis_KBAB4_chromosome_<>Staphylococcus_carnosus_subsp._carnosus_TM300_chromosome_	RNA	NC_002745_sprC(-)_-_(hom|rev)	5		Candidate_360_NC_003210(tandem),Candidate_181_NC_003210(para),Candidate_183_NC_003210(para),Candidate_157_NC_003210(para),Candidate_358_NC_003210(para)	-	-	-	-
Candidate_360_NC_003210	|	lmo2027		putative_cell_surface_protein,_internalin_proteins  	*	<<<	215	|	2109819	2109867	<<<	48	|	141	<<<	lmo2028	hypothetical_protein                           	*	candidate	380	2.7e-11	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Clostridium_botulinum_F_str._Langeland_chromosome_<>Staphylococcus_carnosus_subsp._carnosus_TM300_chromosome_	RNA	NC_003210_rliF(-)_-_(rev)|NC_002745_sprC(-)_-_(hom|rev)	5		Candidate_359_NC_003210(tandem),Candidate_181_NC_003210(para),Candidate_183_NC_003210(para),Candidate_157_NC_003210(para),Candidate_358_NC_003210(para)	-	-	-	-
Candidate_361_NC_003210	|	lmo2042		cell_division_protein_MraZ                      	*	<<<	79	|	2125576	2125689	<<<	113	|	9	<<<	lmo2043	hypothetical_protein                           	*	candidate	686	1.2e-24	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_362_NC_003210	|	lmo2046		2-dehydropantoate_2-reductase                   	*	<<<	73	|	2130152	2130227	<<<	75	|	0	<<<	lmo2047	50S_ribosomal_protein_L32                      	*	candidate	582	2.9e-20	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	3	-	-
Candidate_363_NC_003210	|	lmo2074		hypothetical_protein                            	*	>>>	84	|	2154764	2154959	<<<	195	|	263	<<<	lmo2075	putative_DNA-binding/iron_metalloprotein/AP_endonu   	*	candidate	308	5.2e-08	B	9	Listeria_innocua_Clip11262_chromosome_<>Listeria_innocua_Clip11262_plasmid_pLI100<>Enterococcus_faecalis_V583_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Staphylococcus_aureus_subsp._aureus_ED98_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Carnobacterium_sp._17-4_chromosome_<>Melissococcus_plutonius_ATCC_35311_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	5		Candidate_431_NC_003210(para),Candidate_179_NC_003210(para),Candidate_458_NC_003210(para),Candidate_408_NC_003210(para),Candidate_450_NC_003210(para)	-	-	-	-B.subtilis_sigA_1(10.13|-301)
Candidate_364_NC_003210	|	lmo2074		hypothetical_protein                            	*	>>>	48	|	2154728	2155249	>>>	521	|	-27	<<<	lmo2075	putative_DNA-binding/iron_metalloprotein/AP_endonu   	*	candidate	368	8.4e-11	T	1	Carnobacterium_sp._17-4_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_365_NC_003210	|	lmo2082		camphor_resistance_protein_CrcB                 	*	<<<	20	|	2160453	2160535	<<<	82	|	2	<<<	lmo2083	hypothetical_protein                           	*	candidate	351	3.1e-09	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	5	-	-B.subtilis_sigA_3(9.44|-59)
Candidate_366_NC_003210	|	lmo2099		hypothetical_protein                            	*	<<<	45	|	2179623	2179738	<<<	115	|	19	<<<	lmo2100	hypothetical_protein                           	*	candidate	512	8.4e-17	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_367_NC_003210	|	lmo2105		hypothetical_protein                            	*	>>>	17	|	2186356	2186575	>>>	219	|	-19	<<<	lmo2106	hypothetical_protein                           	*	candidate	238	0.00018	B	2	Bacillus_thuringiensis_serovar_konkukian_str._97-27_chromosome_<>Bacillus_thuringiensis_str._Al_Hakam_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_368_NC_003210	|	lmo2109		hypothetical_protein                            	*	>>>	9	|	2190412	2190540	>>>	128	|	-52	<<<	lmo2110	hypothetical_protein                           	*	candidate	230	0.00066	T	2	Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_369_NC_003210	|	lmo2113		putative_heme_peroxidase                        	*	>>>	33	|	2193482	2193559	>>>	77	|	85	>>>	lmo2114	hypothetical_protein                           	*	candidate	534	8.8e-18	T	3	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_370_NC_003210	|	lmo2195		hypothetical_protein                            	*	<<<	35	|	2284296	2284495	<<<	199	|	43	<<<	lmo2196	hypothetical_protein                           	*	candidate	206	0.0028	T	6	Listeria_innocua_Clip11262_chromosome_<>Bartonella_quintana_str._Toulouse_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Cyanothece_sp._ATCC_51142_chromosome_circular<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_371_NC_003210	|	lmo2201		hypothetical_protein                            	*	<<<	31	|	2290818	2290977	<<<	159	|	11	<<<	lmo2202	3-oxoacyl-(acyl_carrier_protein)_synthase_III   	*	candidate	798	1e-29	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_372_NC_003210	|	lmo2204		hypothetical_protein                            	*	>>>	1	|	2293687	2293805	>>>	118	|	-31	<<<	lmo2205	hypothetical_protein                           	*	candidate	228	0.0012	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_373_NC_003210	|	lmo2231		hypothetical_protein                            	*	>>>	1	|	2321777	2321967	>>>	190	|	63	>>>	lmo2232	hypothetical_protein                           	*	candidate	1013	1.6e-39	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	5	-	-Multi_Fur(12.02|-177)B.subtilis_sigA_2(11.54|-156)
Candidate_374_NC_003210	|	lmo2231		hypothetical_protein                            	*	>>>	1	|	2321777	2322058	>>>	281	|	-28	>>>	lmo2232	hypothetical_protein                           	*	candidate	1013	1.6e-39	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	5	-	-Multi_Fur(12.02|-268)B.subtilis_sigA_2(11.54|-247)
Candidate_375_NC_003210	|	lmo2237		hypothetical_protein                            	*	>>>	9	|	2329581	2329648	>>>	67	|	82	>>>	lmo2238	hypothetical_protein                           	*	candidate	478	3.7e-15	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_376_NC_003210	|	lmo2270		hypothetical_protein                            	*	>>>	5	|	2360719	2360821	>>>	102	|	86	<<<	lmo2271	hypothetical_protein                           	*	candidate	317	7.6e-08	T	1	Listeria_innocua_Clip11262_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_377_NC_003210	|	lmo2356		hypothetical_protein                            	*	<<<	55	|	2425589	2425652	<<<	63	|	70	<<<	lmo2357	hypothetical_protein                           	*	candidate	258	3.6e-05	T	5	Listeria_innocua_Clip11262_chromosome_<>Acinetobacter_sp._ADP1_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_378_NC_003210	|	lmo2365		hypothetical_protein                            	*	<<<	29	|	2436171	2436272	<<<	101	|	220	<<<	lmot46	tRNA-Leu                                       	*	candidate	257	3e-05	T	81	Clostridium_acetobutylicum_ATCC_824_plasmid_pSOL1<>Streptococcus_pneumoniae_R6_chromosome_<>Listeria_innocua_Clip11262_chromosome_<>Nostoc_sp._PCC_7120_chromosome_<>Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586_chromosome_<>Methanosarcina_mazei_Go1_chromosome_<>Prochlorococcus_marinus_subsp._marinus_str._CCMP1375_chromosome_<>Photorhabdus_luminescens_subsp._laumondii_TTO1_chromosome_<>Onion_yellows_phytoplasma_OY-M_chromosome_<>Bartonella_henselae_str._Houston-1_chromosome_<>Yersinia_pseudotuberculosis_IP_32953_chromosome_<>Rickettsia_felis_URRWXCal2_chromosome_<>Methanosarcina_barkeri_str._Fusaro_chromosome_<>Aster_yellows_witches'-broom_phytoplasma_AYWB_chromosome_<>Lawsonia_intracellularis_PHE/MN1-00_chromosome_<>Lawsonia_intracellularis_PHE/MN1-00_plasmid_3<>Cytophaga_hutchinsonii_ATCC_33406_chromosome_<>Trichodesmium_erythraeum_IMS101_chromosome_<>Bacillus_thuringiensis_str._Al_Hakam_chromosome_<>Yersinia_enterocolitica_subsp._enterocolitica_8081_chromosome_<>Caldicellulosiruptor_saccharolyticus_DSM_8903_chromosome_<>Flavobacterium_johnsoniae_UW101_chromosome_<>Orientia_tsutsugamushi_str._Boryong_chromosome_<>Clostridium_botulinum_A_str._ATCC_3502_chromosome_<>Alkaliphilus_metalliredigens_QYMF_chromosome_<>Staphylococcus_aureus_subsp._aureus_str._Newman_chromosome_<>Sulfurovum_sp._NBC37-1_chromosome_<>Clostridium_botulinum_A_str._ATCC_19397_chromosome_<>Clostridium_botulinum_A_str._Hall_chromosome_<>Clostridium_botulinum_F_str._Langeland_chromosome_<>Clostridium_kluyveri_DSM_555_chromosome_<>Rickettsia_canadensis_str._McKiel_chromosome_<>Rickettsia_akari_str._Hartford_chromosome_<>Clostridium_phytofermentans_ISDg_chromosome_<>Bartonella_tribocorum_CIP_105476_chromosome_<>Rickettsia_rickettsii_str._Iowa_chromosome_<>Thermoanaerobacter_sp._X514_chromosome_<>Thermoanaerobacter_pseudethanolicus_ATCC_33223_chromosome_<>Clostridium_botulinum_B1_str._Okra_chromosome_<>Clostridium_botulinum_A3_str._Loch_Maree_chromosome_<>Streptococcus_pneumoniae_G54_chromosome_<>Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._P125109_chromosome_<>Bacillus_cereus_AH187_chromosome_<>Clostridium_kluyveri_NBRC_12016_chromosome_<>Streptococcus_pneumoniae_ATCC_700669_chromosome_<>Bacillus_cereus_Q1_chromosome_<>Streptococcus_pneumoniae_JJA_chromosome_<>Streptococcus_pneumoniae_P1031_chromosome_<>Streptococcus_pneumoniae_Taiwan19F-14_chromosome_<>Clostridium_botulinum_A2_str._Kyoto_chromosome_<>Sulfolobus_islandicus_M.14.25_chromosome_<>Clostridium_botulinum_Ba4_str._657_chromosome_<>Sulfolobus_islandicus_M.16.4_chromosome_<>Desulfovibrio_salexigens_DSM_2638_chromosome_<>Photorhabdus_asymbiotica_subsp._asymbiotica_ATCC_43949_chromosome_<>Spirosoma_linguale_DSM_74_plasmid_pSLIN01<>Zunongwangia_profunda_SM-A87_chromosome_<>Bacillus_megaterium_DSM_319_chromosome_<>Streptococcus_pneumoniae_TCH8431/19A_chromosome_<>Acinetobacter_sp._DR1_chromosome_<>Brachyspira_pilosicoli_95/1000_chromosome_<>Streptococcus_pneumoniae_670-6B_chromosome_<>Thermoanaerobacter_sp._X513_chromosome_<>Paenibacillus_polymyxa_SC2_chromosome_<>Halanaerobium_hydrogeniformans_chromosome_<>Bacillus_cellulosilyticus_DSM_2522_chromosome_<>Cellulophaga_algicola_DSM_14237_chromosome_<>Thermoanaerobacter_brockii_subsp._finnii_Ako-1_chromosome_<>Bacteroides_salanitronis_DSM_18170_chromosome_<>Yersinia_enterocolitica_subsp._palearctica_105.5R(r)_chromosome_<>Clostridium_lentocellum_DSM_5427_chromosome_<>Thermoanaerobacterium_xylanolyticum_LX-11_chromosome_<>Streptococcus_parauberis_KCTC_11537_chromosome_<>Methanothermococcus_okinawensis_IH1_chromosome_<>Methanosalsum_zhilinae_DSM_4017_chromosome_<>Clostridium_acetobutylicum_DSM_1731_plasmid_pSMBa<>Nitrosomonas_sp._Is79A3_chromosome_<>Cyclobacterium_marinum_DSM_745_chromosome_<>Thermoanaerobacter_wiegelii_Rt8.B1_chromosome_<>Rickettsia_japonica_YH_chromosome_<>Acidaminococcus_intestini_RyC-MR95_chromosome_	-	-	0	-	-	-	5	-	-
Candidate_379_NC_003210	|	lmot61		tRNA-Ile                                        	*	<<<	57	|	2441388	2441457	<<<	69	|	0	<<<	lmor15	16S_ribosomal_RNA                              	*	candidate	300	2.6e-07	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	8		Candidate_395_NC_003210(para),Candidate_6_NC_003210(para),Candidate_7_NC_003210(para),Candidate_63_NC_003210(para),Candidate_64_NC_003210(para),Candidate_44_NC_003210(para),Candidate_91_NC_003210(para),Candidate_32_NC_003210(para)	-	3	-	-
Candidate_380_NC_003210	|	lmo2370		hypothetical_protein                            	*	>>>	20	|	2447934	2447982	>>>	48	|	69	>>>	lmo2371	hypothetical_protein                           	*	candidate	238	0.00028	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	5	-	-
Candidate_381_NC_003210	|	lmo2396		hypothetical_protein                            	*	>>>	1	|	2471917	2472003	>>>	86	|	85	>>>	lmo2397	hypothetical_protein                           	*	candidate	424	9.3e-13	T	2	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_382_NC_003210	|	lmo2396		hypothetical_protein                            	*	>>>	1	|	2471917	2471985	>>>	68	|	103	>>>	lmo2397	hypothetical_protein                           	*	candidate	424	9.3e-13	T	2	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_383_NC_003210	|	lmo2428		hypothetical_protein                            	*	<<<	34	|	2498273	2498380	<<<	107	|	0	<<<	lmo2429	hypothetical_protein                           	*	candidate	576	1.5e-19	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_384_NC_003210	|	lmo2435		hypothetical_protein                            	*	>>>	1	|	2504238	2504298	<<<	60	|	1	<<<	lmo2436	hypothetical_protein                           	*	candidate	255	2.6e-05	B	2	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_	-	-	0	-	-	-	3	-	-
Candidate_385_NC_003210	|	lmo2442		hypothetical_protein                            	*	<<<	87	|	2508904	2508962	<<<	58	|	29	<<<	lmo2443	hypothetical_protein                           	*	candidate	224	0.0013	T	1	Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_386_NC_003210	|	lmo2447		hypothetical_protein                            	*	>>>	1	|	2519881	2519985	>>>	104	|	-51	<<<	lmo2448	SsrA-binding_protein                           	*	candidate	224	0.0032	T	1	Listeria_innocua_Clip11262_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_387_NC_003210	|	lmo2458		phosphoglycerate_kinase                         	*	<<<	50	|	2531226	2531309	<<<	83	|	0	<<<	lmo2459	glyceraldehyde-3-phosphate_dehydrogenase       	*	candidate	583	7.9e-20	B	3	Listeria_innocua_Clip11262_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_388_NC_003210	|	lmo2489		excinuclease_ABC_subunit_B                      	*	<<<	175	|	2567621	2567691	<<<	70	|	4	<<<	lmo2490	hypothetical_protein                           	*	candidate	204	0.0047	T	5	Listeria_innocua_Clip11262_chromosome_<>Cytophaga_hutchinsonii_ATCC_33406_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	3	-	-
Candidate_389_NC_003210	|	lmo2536		hypothetical_protein                            	*	<<<	435	|	2613039	2613430	<<<	391	|	4	<<<	lmo2537	hypothetical_protein                           	*	candidate	3057	2.3e-132	B	2	Listeria_innocua_Clip11262_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	1		Candidate_390_NC_003210(tandem)	-	-	-	-B.subtilis_sigA_1(10.72|-505)
Candidate_390_NC_003210	|	lmo2536		hypothetical_protein                            	*	<<<	494	|	2613098	2613425	<<<	327	|	9	<<<	lmo2537	hypothetical_protein                           	*	candidate	1084	8.8e-43	T	3	Listeria_innocua_Clip11262_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	1		Candidate_389_NC_003210(tandem)	-	-	-	-B.subtilis_sigA_1(10.72|-446)
Candidate_391_NC_003210	|	lmo2559		CTP_synthetase                                  	*	<<<	148	|	2639711	2639826	<<<	115	|	103	<<<	lmo2560	DNA-directed_RNA_polymerase_subunit_delta      	*	candidate	224	0.00081	T	6	Staphylococcus_epidermidis_RP62A_chromosome_<>Listeria_innocua_Clip11262_chromosome_<>Staphylococcus_epidermidis_ATCC_12228_chromosome_<>Staphylococcus_haemolyticus_JCSC1435_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	NC_000964_T1box13(-)_-_(hom)	0	-	-	-	-	-	-
Candidate_392_NC_003210	|	lmo2566		hypothetical_protein                            	*	<<<	54	|	2646201	2646250	<<<	49	|	213	<<<	lmo2567	hypothetical_protein                           	*	candidate	264	2.5e-05	T	7	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Shewanella_pealeana_ATCC_700345_chromosome_<>Borrelia_duttonii_Ly_plasmid_pl35<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Clostridium_lentocellum_DSM_5427_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	1		Candidate_393_NC_003210(tandem)	-	-	-	-B.subtilis_sigA_1(9.22|-167)
Candidate_393_NC_003210	|	lmo2566		hypothetical_protein                            	*	<<<	243	|	2646390	2646429	<<<	39	|	34	<<<	lmo2567	hypothetical_protein                           	*	candidate	212	0.0023	T	5	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Borrelia_duttonii_Ly_plasmid_pl35<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	1		Candidate_392_NC_003210(tandem)	-	3	-	-
Candidate_394_NC_003210	|	lmo2569		hypothetical_protein                            	*	<<<	40	|	2648866	2648959	<<<	93	|	0	<<<	lmo2570	hypothetical_protein                           	*	candidate	538	8.3e-18	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	-	-	-B.subtilis_sigA_3(11.28|-47)
Candidate_395_NC_003210	|	lmot66		tRNA-Ile                                        	*	<<<	57	|	2676397	2676466	<<<	69	|	0	<<<	lmor18	16S_ribosomal_RNA                              	*	candidate	300	2.6e-07	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	8		Candidate_379_NC_003210(para),Candidate_6_NC_003210(para),Candidate_7_NC_003210(para),Candidate_63_NC_003210(para),Candidate_64_NC_003210(para),Candidate_44_NC_003210(para),Candidate_91_NC_003210(para),Candidate_32_NC_003210(para)	-	3	-	-
Candidate_396_NC_003210	|	lmo2595		hypothetical_protein                            	*	>>>	92	|	2684149	2684240	<<<	91	|	10	<<<	lmo2596	30S_ribosomal_protein_S9                       	*	candidate	214	0.0028	T	3	Listeria_innocua_Clip11262_chromosome_<>Bacillus_cereus_G9842_chromosome_<>Bacillus_cereus_G9842_plasmid_pG9842_140	-	-	0		Candidate_397_NC_003210(anti)	-	-	-	-
Candidate_397_NC_003210	|	lmo2595		hypothetical_protein                            	*	>>>	118	|	2684175	2684223	>>>	48	|	27	<<<	lmo2596	30S_ribosomal_protein_S9                       	*	candidate	208	0.0024	T	3	Listeria_innocua_Clip11262_chromosome_<>Bacillus_cereus_G9842_chromosome_<>Bacillus_cereus_G9842_plasmid_pG9842_140	-	-	0		Candidate_396_NC_003210(anti)	-	-	-	-
Candidate_398_NC_003210	|	lmo2604		hypothetical_protein                            	*	<<<	58	|	2691524	2691672	<<<	148	|	0	<<<	lmo2605	50S_ribosomal_protein_L17                      	*	candidate	172	2.3e-24	B	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	-	-	-
